protocol,backbone,method,seed,fold,slide_id,tissue,num_patches,bPQ,mPQ,F1det,F1type,taxonomy_metrics_valid,source,epithelial_f1,epithelial_matched_true_support,epithelial_total_true_support,immune_f1,immune_matched_true_support,immune_total_true_support,stromal_f1,stromal_matched_true_support,stromal_total_true_support,melanocyte_f1,melanocyte_matched_true_support,melanocyte_total_true_support,other_f1,other_matched_true_support,other_total_true_support
slide-independent,SAM-H,FullFT,42,B,liver_s0,Liver,9756,0.6120772161,0.1890723564,0.8978646179,0.3493712427,True,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json,0.7646199828,114508,130067,0.0583739014,42808,50661,0.3134838011,36230,46345,0,0,0,0.2610072854,1291,2567
slide-independent,SAM-H,FullFT,42,B,tonsil_s0,Tonsil,9856,0.5710322795,0.2660861122,0.8490891662,0.5285625373,True,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/log/2026-08-19T181004_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed42/inference_results.json,0.6948382627,115829,140492,0.8711510994,662878,795897,0.4273989899,157503,191173,0,0,0,0.1208617972,6557,11132
slide-independent,SAM-H,FullFT,43,B,kidney_s0,Kidney,6723,0.6502662807,0.2411139304,0.8979091333,0.3969559288,True,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json,0.6130576952,93983,106790,0.2662751035,16489,19736,0.4621471954,46863,55122,0,0,0,0.2463437211,7250,9919
slide-independent,SAM-H,FullFT,43,B,liver_s0,Liver,9756,0.6021258141,0.1841599656,0.8960257837,0.311993966,True,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json,0.7631730812,113469,130073,0.0387539528,42544,50671,0.243182237,35849,46351,0,0,0,0.2028665932,1287,2568
slide-independent,SAM-H,FullFT,43,B,tonsil_s0,Tonsil,9856,0.5725206166,0.2752465887,0.8399460919,0.5513387429,True,run/sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/log/2026-08-25T105706_sthelar40x_klt_5class_slideind_foldB_fullft_lr1e-5_e10_seed43/inference_results.json,0.7269437955,115248,140467,0.8691436447,658338,795861,0.4356500282,156835,191160,0,0,0,0.1736175034,6726,11136
slide-independent,CellViT-256,Frozen,42,B,kidney_s0,Kidney,6723,0.5840942488,NA,0.8757898703,NA,False,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,CellViT-256,Frozen,42,B,liver_s0,Liver,9756,0.5649546848,NA,0.8216658227,NA,False,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,CellViT-256,Frozen,42,B,tonsil_s0,Tonsil,9856,0.5423622578,NA,0.8615392554,NA,False,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_frozen_seed42/eval/frozen_class_agnostic_results.json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
slide-independent,CellViT-256,Selected PEFT,42,B,kidney_s0,Kidney,6723,0.5690102191,0.1759514221,0.8894767618,0.3114038446,True,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.5315776859,90081,106077,0.2477706451,15590,19607,0.4516379981,45202,54814,0,0,0,0.0146290491,5860,9777
slide-independent,CellViT-256,Selected PEFT,42,B,liver_s0,Liver,9756,0.5877578609,0.1783935883,0.8658644633,0.2890061574,True,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7682650836,105312,129730,0.0616028417,38994,50433,0.2041553336,33657,46196,0,0,0,0.1220013708,1045,2562
slide-independent,CellViT-256,Selected PEFT,42,B,tonsil_s0,Tonsil,9856,0.5466626044,0.2250274508,0.8531952034,0.4250318761,True,run/sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldB_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.4934112057,114542,139853,0.8589450637,659527,794983,0.3090912241,155882,190654,0,0,0,0.0386800108,5733,11069
