protocol,scope,backbone,method,seed,fold,slide_id,class,taxonomy_metrics_valid,source,f1,precision,recall,matched_true_support,matched_pred_support,unmatched_true,unmatched_pred,total_true_support,total_pred_support
slide-independent,fold,CellViT-256,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.6623993845,0.6534653028,0.6715811433,220505,226618,55205,40337,275710,266955
slide-independent,fold,CellViT-256,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.7365285354,0.8184064009,0.6695437101,528436,432317,115631,65483,644067,497800
slide-independent,fold,CellViT-256,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.4910904699,0.4172835859,0.5966168626,203598,291097,56100,53944,259698,345041
slide-independent,fold,CellViT-256,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,CellViT-256,Selected PEFT,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/log/2026-08-25T114238_sthelar40x_klt_5class_slideind_foldA_cellvit256_lora_adaptformer_r8_a8_red16_heads_e10_seed42/inference_results.json,0.1002290835,0.0953814099,0.1055958992,23410,25917,18193,6464,41603,32381
slide-independent,fold,CellViT-256,FullFT,42,A,ALL_HELD_OUT_SLIDES,Epithelial,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.5606523392,0.6299469282,0.5050918892,221136,177307,54722,25114,275858,202421
slide-independent,fold,CellViT-256,FullFT,42,A,ALL_HELD_OUT_SLIDES,Immune,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.7137573156,0.7383787268,0.6907249313,534023,499558,110206,69179,644229,568737
slide-independent,fold,CellViT-256,FullFT,42,A,ALL_HELD_OUT_SLIDES,Stromal,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.5151729642,0.4370153015,0.6273754379,200121,287292,59671,37098,259792,324390
slide-independent,fold,CellViT-256,FullFT,42,A,ALL_HELD_OUT_SLIDES,Melanocyte,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0,0,0,0,0,0,0,0,0
slide-independent,fold,CellViT-256,FullFT,42,A,ALL_HELD_OUT_SLIDES,Other,True,run/sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/log/2026-08-24T115109_sthelar40x_klt_5class_slideind_foldA_cellvit256_fullft_lr1e-5_e10_seed42/inference_results.json,0.080037952,0.114471261,0.0615296447,19194,10317,22457,2151,41651,12468
